date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:15:26 PM,22, 4,12,8,2,11,7, 1, 0, 0.364449
2019-09-25,11:15:26 PM,22, 4,12,8,2,12,2, 4, 0, 0.459141
2019-09-25,11:15:27 PM,22, 4,12,8,2,13,4, 8, 0, 0.3611417
2019-09-25,11:15:28 PM,22, 4,12,8,2,14,8, 2, 0, 0.3949808
2019-09-25,11:15:29 PM,22, 4,12,8,2,15,6, 6, 1, 0.5820128
2019-09-25,11:15:30 PM,22, 4,12,8,2,16,3, 3, 1, 0.5219703
2019-09-25,11:15:30 PM,22, 4,12,8,2,16,0, 0, AVERAGE, 0.4541057
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:18:31 PM,22, 4,12,8,1,1,3, 3, 1, 0.833703
2019-09-25,11:18:32 PM,22, 4,12,8,1,2,2, 2, 1, 0.6525983
2019-09-25,11:18:34 PM,22, 4,12,8,1,3,4, 4, 1, 0.7227938
2019-09-25,11:18:35 PM,22, 4,12,8,1,4,8, 8, 1, 0.6947685
2019-09-25,11:18:36 PM,22, 4,12,8,1,5,2, 1, 0, 0.6530727
2019-09-25,11:18:37 PM,22, 4,12,8,1,6,5, 5, 1, 0.6171078
2019-09-25,11:18:38 PM,22, 4,12,8,1,7,7, 7, 1, 0.5711941
2019-09-25,11:18:39 PM,22, 4,12,8,1,8,6, 6, 1, 0.5953037
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:22:23 PM,22, 4,12,8,1,1,6, 5, 0, 0.6008842
2019-09-25,11:22:25 PM,22, 4,12,8,1,2,1, 1, 1, 0.9520354
2019-09-25,11:22:26 PM,22, 4,12,8,1,3,8, 8, 1, 0.5719972
2019-09-25,11:22:27 PM,22, 4,12,8,1,4,6, 6, 1, 0.7525363
2019-09-25,11:22:28 PM,22, 4,12,8,1,5,2, 2, 1, 0.6317937
2019-09-25,11:22:30 PM,22, 4,12,8,1,6,7, 7, 1, 0.7761772
2019-09-25,11:22:31 PM,22, 4,12,8,1,7,3, 4, 0, 0.8410519
2019-09-25,11:22:32 PM,22, 4,12,8,1,8,3, 3, 1, 0.6309708
2019-09-25,11:22:35 PM,22, 4,12,8,2,9,4, 4, 1, 0.6682879
2019-09-25,11:22:36 PM,22, 4,12,8,2,10,3, 3, 1, 1.054696
2019-09-25,11:22:37 PM,22, 4,12,8,2,11,8, 8, 1, 0.6926055
2019-09-25,11:22:39 PM,22, 4,12,8,2,12,6, 6, 1, 0.7476008
2019-09-25,11:22:39 PM,22, 4,12,8,2,13,7, 7, 1, 0.6170065
2019-09-25,11:22:40 PM,22, 4,12,8,2,14,5, 5, 1, 0.6300559
2019-09-25,11:22:41 PM,22, 4,12,8,2,15,2, 2, 1, 0.559956
2019-09-25,11:22:42 PM,22, 4,12,8,2,16,1, 1, 1, 0.6198841
